,Year,Week_Number,date,variable,value,Month,Month_Year
0,2020,1,2020-01-04,new_cases,-0.6547378827353001,1,Jan-2020
1,2020,2,2020-01-06,new_cases,-0.6547378827353001,1,Jan-2020
2,2020,3,2020-01-13,new_cases,-0.6547378827353001,1,Jan-2020
3,2020,4,2020-01-20,new_cases,-0.6546582475610703,1,Jan-2020
4,2020,5,2020-01-27,new_cases,-0.6545188860061679,1,Jan-2020
5,2020,6,2020-02-03,new_cases,-0.654479068419053,2,Feb-2020
6,2020,7,2020-02-10,new_cases,-0.6546980651481852,2,Feb-2020
7,2020,8,2020-02-17,new_cases,-0.6547179739417427,2,Feb-2020
8,2020,9,2020-02-24,new_cases,-0.6545985211803979,2,Feb-2020
9,2020,10,2020-03-02,new_cases,-0.6545786123868403,3,Mar-2020
10,2020,11,2020-03-09,new_cases,-0.6534637199476219,3,Mar-2020
11,2020,12,2020-03-16,new_cases,-0.6450821178599256,3,Mar-2020
12,2020,13,2020-03-23,new_cases,-0.6390298446184538,3,Mar-2020
13,2020,14,2020-03-30,new_cases,-0.6391891149669137,3,Mar-2020
14,2020,15,2020-04-06,new_cases,-0.6471327235963454,4,Apr-2020
15,2020,16,2020-04-13,new_cases,-0.6504774009140009,4,Apr-2020
16,2020,17,2020-04-20,new_cases,-0.6516122021467768,4,Apr-2020
17,2020,18,2020-04-27,new_cases,-0.6538021694380989,4,Apr-2020
18,2020,19,2020-05-04,new_cases,-0.6539415309930012,5,May-2020
19,2020,20,2020-05-11,new_cases,-0.6543596156577082,5,May-2020
20,2020,21,2020-05-18,new_cases,-0.6544989772126104,5,May-2020
21,2020,22,2020-05-25,new_cases,-0.6539216221994437,5,May-2020
22,2020,23,2020-06-01,new_cases,-0.6541207101350185,6,Jun-2020
23,2020,24,2020-06-08,new_cases,-0.6542799804834782,6,Jun-2020
24,2020,25,2020-06-15,new_cases,-0.654479068419053,6,Jun-2020
25,2020,26,2020-06-22,new_cases,-0.6544591596254955,6,Jun-2020
26,2020,27,2020-06-29,new_cases,-0.6541804365156909,6,Jun-2020
27,2020,28,2020-07-06,new_cases,-0.6542003453092483,7,Jul-2020
28,2020,29,2020-07-13,new_cases,-0.654100801341461,7,Jul-2020
29,2020,30,2020-07-20,new_cases,-0.6535433551218517,7,Jul-2020
30,2020,31,2020-07-27,new_cases,-0.6542202541028058,7,Jul-2020
31,2020,32,2020-08-03,new_cases,-0.6540609837543461,8,Aug-2020
32,2020,33,2020-08-10,new_cases,-0.6542202541028058,8,Aug-2020
33,2020,34,2020-08-17,new_cases,-0.6543795244512656,8,Aug-2020
34,2020,35,2020-08-24,new_cases,-0.6544193420383806,8,Aug-2020
35,2020,36,2020-08-31,new_cases,-0.6540808925479035,8,Aug-2020
36,2020,37,2020-09-07,new_cases,-0.6541605277221334,9,Sep-2020
37,2020,38,2020-09-14,new_cases,-0.6540808925479035,9,Sep-2020
38,2020,39,2020-09-21,new_cases,-0.6543994332448231,9,Sep-2020
39,2020,40,2020-09-28,new_cases,-0.6535035375347368,9,Sep-2020
40,2020,41,2020-10-05,new_cases,-0.653722534263869,10,Oct-2020
41,2020,42,2020-10-12,new_cases,-0.6537424430574265,10,Oct-2020
42,2020,43,2020-10-19,new_cases,-0.6537424430574265,10,Oct-2020
43,2020,44,2020-10-26,new_cases,-0.6537822606445414,10,Oct-2020
44,2020,45,2020-11-02,new_cases,-0.653682716676754,11,Nov-2020
45,2020,46,2020-11-09,new_cases,-0.6540012573736737,11,Nov-2020
46,2020,47,2020-11-16,new_cases,-0.6539614397865586,11,Nov-2020
47,2020,48,2020-11-23,new_cases,-0.6534637199476219,11,Nov-2020
48,2020,49,2020-11-30,new_cases,-0.6525678242375356,11,Nov-2020
49,2020,50,2020-12-07,new_cases,-0.652289101127731,12,Dec-2020
50,2020,51,2020-12-14,new_cases,-0.6408415448321839,12,Dec-2020
51,2020,52,2020-12-21,new_cases,-0.6301704314853783,12,Dec-2020
52,2020,53,2020-12-28,new_cases,-0.6399456491220976,12,Dec-2020
53,2021,1,2021-01-04,new_cases,-0.60289538431164,1,Jan-2021
54,2021,2,2021-01-11,new_cases,-0.6197780412483773,1,Jan-2021
55,2021,3,2021-01-18,new_cases,-0.625949767251194,1,Jan-2021
56,2021,4,2021-01-25,new_cases,-0.549579635164727,1,Jan-2021
57,2021,5,2021-02-01,new_cases,-0.5633764291000559,2,Feb-2021
58,2021,6,2021-02-08,new_cases,-0.6308473304663323,2,Feb-2021
59,2021,7,2021-02-15,new_cases,-0.6379348609727928,2,Feb-2021
60,2021,8,2021-02-22,new_cases,-0.6440667693884945,2,Feb-2021
61,2021,9,2021-03-01,new_cases,-0.6463960982347189,3,Mar-2021
62,2021,10,2021-03-08,new_cases,-0.6436486847237876,3,Mar-2021
63,2021,11,2021-03-15,new_cases,-0.6372977795789536,3,Mar-2021
64,2021,12,2021-03-22,new_cases,-0.6362027959332927,3,Mar-2021
65,2021,13,2021-03-29,new_cases,-0.6469137268672132,3,Mar-2021
66,2021,14,2021-04-05,new_cases,-0.5850969228712591,4,Apr-2021
67,2021,15,2021-04-12,new_cases,-0.4610850478017589,4,Apr-2021
68,2021,16,2021-04-19,new_cases,-0.39377341678394223,4,Apr-2021
69,2021,17,2021-04-26,new_cases,-0.3854913586640334,4,Apr-2021
70,2021,18,2021-05-03,new_cases,-0.3682304346497042,5,May-2021
71,2021,19,2021-05-10,new_cases,-0.2949461655646456,5,May-2021
72,2021,20,2021-05-17,new_cases,-0.09623649706750617,5,May-2021
73,2021,21,2021-05-24,new_cases,-0.16086044095506397,5,May-2021
74,2021,22,2021-05-31,new_cases,-0.19365022394422224,5,May-2021
75,2021,23,2021-06-07,new_cases,-0.2875799119483805,6,Jun-2021
76,2021,24,2021-06-14,new_cases,-0.21232467230113203,6,Jun-2021
77,2021,25,2021-06-21,new_cases,-0.13081807147683702,6,Jun-2021
78,2021,26,2021-06-28,new_cases,0.11413972445431249,6,Jun-2021
79,2021,27,2021-07-05,new_cases,0.40648044905224806,7,Jul-2021
80,2021,28,2021-07-12,new_cases,0.6794499175187623,7,Jul-2021
81,2021,29,2021-07-19,new_cases,1.2150163730083472,7,Jul-2021
82,2021,30,2021-07-26,new_cases,1.69473866256922,7,Jul-2021
83,2021,31,2021-08-02,new_cases,2.1562045884378898,8,Aug-2021
84,2021,32,2021-08-09,new_cases,2.3445616842851433,8,Aug-2021
85,2021,33,2021-08-16,new_cases,2.175058215936817,8,Aug-2021
86,2021,34,2021-08-23,new_cases,1.829799918063118,8,Aug-2021
87,2021,35,2021-08-30,new_cases,1.4644138299028133,8,Aug-2021
88,2021,36,2021-09-06,new_cases,1.3687719856527123,9,Sep-2021
